question_id,category,risk_level,answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
Q011,Materiality Failure,High,"Yes, changing the foundation model provider is considered a material change. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",Is changing the foundation model provider considered a material change?,"['Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.', 'monitoring model performance and conditions under which the use of those models may become \nmaterial to the banking organization in the future. In contrast, models deemed of higher \nmateriality by the banking organization—either through model exposure or purpose—warrant \nmore comprehensive and rigorous oversight. \n  The overall magnitude of model risk reflects a model’s inherent risk in the context of \nmodel materiality (i.e., model exposure and purpose). However, even a fundamentally sound', 'generally considered to be of greater risk than models that are not used for such purposes.   \nModel purpose, together with model exposure, determines model materiality. Assessing \nrisk based on model materiality is an important consideration for sound model risk management. \nBanking organizations may deem certain models immaterial based on model exposure and \npurpose. In those cases, model risk management may consist of identifying those models and']","Yes, changing the foundation model provider is considered a material change. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",Yes,,,,
Q012,Materiality Failure,High,"Yes, changing the retrieval corpus is considered a material change. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",Is changing the retrieval corpus considered a material change?,"['Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.', 'deterioration over time and inform judgments about acceptable performance ranges. When \nperformance deviates meaningfully from expectations, banking organizations generally consider \nwhether model adjustments, recalibration, or redevelopment are warranted.  \nThe timing, nature, and frequency of validation activities vary based on model purpose, \nmodel methodology, frequency and scope of model changes, data limitations, and other practical', 'monitoring model performance and conditions under which the use of those models may become \nmaterial to the banking organization in the future. In contrast, models deemed of higher \nmateriality by the banking organization—either through model exposure or purpose—warrant \nmore comprehensive and rigorous oversight. \n  The overall magnitude of model risk reflects a model’s inherent risk in the context of \nmodel materiality (i.e., model exposure and purpose). However, even a fundamentally sound']","Yes, changing the retrieval corpus is considered a material change. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",Yes,,,,
Q013,Materiality Failure,Medium,"Yes, minor prompt modifications that do not materially affect system behavior may be approved through expedited review (AI-SDL-007, [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf]).",Can prompt changes be approved through expedited review?,"['Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'issues that may occur, before and after a model is approved for use. The frequency and scope of']","Yes, minor prompt modifications that do not materially affect system behavior may be approved through expedited review (AI-SDL-007, [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf]).",Only if they are non-material,,,,
Q014,Materiality Failure,High,"Yes, all production AI systems shall maintain immutable audit logs (AI-SDL-008, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",Must production AI systems maintain audit logs?,"['Section 4 – Monitoring \nAI-SDL-008 \nAll production AI systems shall maintain immutable audit logs. \nAI-SDL-009 \nCritical-risk AI systems shall be monitored continuously for security events and model \nperformance degradation. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within one \nbusiness day. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the AI Governance Committee within \nfive business days.', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.']","Yes, all production AI systems shall maintain immutable audit logs (AI-SDL-008, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",Yes - immutable audit logs,,,,
Q015,Materiality Failure,High,"Critical-risk AI systems shall be monitored continuously for security events and model performance degradation (AI-SDL-009, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",How should Critical AI systems be monitored?,"['Section 4 – Monitoring \nAI-SDL-008 \nAll production AI systems shall maintain immutable audit logs. \nAI-SDL-009 \nCritical-risk AI systems shall be monitored continuously for security events and model \nperformance degradation. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within one \nbusiness day. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the AI Governance Committee within \nfive business days.', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'critical analysis conducted by objective experts who evaluate model risk and effect appropriate \nchanges throughout the model lifecycle, from model development to ongoing monitoring. \nEffective challenge is performed by individuals with the appropriate expertise to conduct a \ncritical and objective challenge, sufficient independence to maintain objectivity, as well as the \norganizational standing and influence to effect any change.']","Critical-risk AI systems shall be monitored continuously for security events and model performance degradation (AI-SDL-009, Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf).",Continuous monitoring for security events and model performance degradation,,,,
Q016,Validation Philosophy,High,This information is not available in the approved documents.,The retrieved answer is faithful to the retrieved document but the document has been superseded. Should the answer be considered valid?,"['document. However, the principles described in this guidance apply to traditional statistical and quantitative models \nand non-generative, non-agentic AI models.', 'issues that may occur, before and after a model is approved for use. The frequency and scope of', 'deterioration over time and inform judgments about acceptable performance ranges. When \nperformance deviates meaningfully from expectations, banking organizations generally consider \nwhether model adjustments, recalibration, or redevelopment are warranted.  \nThe timing, nature, and frequency of validation activities vary based on model purpose, \nmodel methodology, frequency and scope of model changes, data limitations, and other practical']",This information is not available in the approved documents.,No. Faithfulness to a superseded source does not satisfy governance validation requirements.,,,,
Q017,Authority Failure,High,This information is not available in the approved documents.,Which document should take precedence if internal policy conflicts with regulatory guidance?,"['or prescriptive requirements; accordingly, non-compliance with this guidance will not result in \nsupervisory criticism against a banking organization.1  \nII. PURPOSE AND SCOPE \nBased on supervisory experience and industry feedback, as well as technological \nadvancements in modeling over the past several years, the Office of the Comptroller of the \nCurrency, Board of Governors of the Federal Reserve System, and Federal Deposit Insurance', 'where internal audit is part of the banking organization’s model risk management practices, \ninternal audit would generally not duplicate model risk management activities such as model \ndevelopment or validation. Instead, internal audit’s role is generally to evaluate whether the \nmodel risk management practices are rigorous and effective and whether related policies are \nimplemented accordingly. For banking organizations that use external resources to help manage', 'The Board of Governors of the Federal Reserve System, Office of the Comptroller of the \nCurrency (OCC), and Federal Deposit Insurance Corporation (FDIC) (the “agencies”) are issuing \nthe attached Revised Guidance on Model Risk Management , which supersedes and replaces SR \nletter 11 -7,  Guidance on Model Risk Management  (issued April 4, 2011) and SR letter 21- 8, \nInteragency Statement on Model Risk Management for Bank Systems Supporting Bank Secrecy']",This information is not available in the approved documents.,Regulatory guidance,,,,
Q018,Materiality Failure,High,"Yes, replacing the foundation model provider requires re-validation prior to production deployment. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",Does replacing the foundation model require re-validation?,"['Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.', 'When extending a model’s use beyond its original application, sound practice involves \nconsidering additional analysis of the new usage and its limitations, along with review of \nexisting controls to manage the resulting risk.  \nV. MODEL VALIDATION AND MONITORING \nModel validation evaluates whether models perform as expected and includes an \nassessment of a model’s reliability and its limitations. The nature and rigor of validation generally', 'sound practice also involves appropriately documenting, justifying, and evaluating adjustments \nmade to customize the model as part of model validation.']","Yes, replacing the foundation model provider requires re-validation prior to production deployment. (Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-006)",Yes,,,,
Q019,Governance Boundary,High,"Critical-risk AI systems shall obtain approval from the AI Governance Committee before production release [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-002].",Who is accountable for approving Critical AI deployment?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 2.0 \nEffective Date: January 1, 2026 \nPurpose \nThis standard establishes minimum security, governance, and control requirements for the \ndevelopment, deployment, and monitoring of Generative AI and Agentic AI systems. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002', 'Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.']","Critical-risk AI systems shall obtain approval from the AI Governance Committee before production release [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf, AI-SDL-002].",AI Governance Committee,,,,
Q020,Stale Guidance,Medium,"No, annual red-team testing would not satisfy current AI-SDL requirements for critical-risk AI systems, as they ""shall undergo adversarial red-team testing at least quarterly."" [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf]",Should annual red-team testing satisfy current AI-SDL requirements?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the AI Governance Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nAll Generative AI applications shall undergo prompt injection testing prior to production \ndeployment. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least quarterly. \nAI-SDL-005 \nSecurity testing results shall be retained for a minimum of seven years. \nSection 3 – Change Management', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 2.0 \nEffective Date: January 1, 2026 \nPurpose \nThis standard establishes minimum security, governance, and control requirements for the \ndevelopment, deployment, and monitoring of Generative AI and Agentic AI systems. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002', 'Section 3 – Change Management \nAI-SDL-006 \nAny material change to model architecture, foundation model provider, retrieval corpus, or \ndecision logic shall require re-validation prior to production deployment. \nAI-SDL-007 \nMinor prompt modifications that do not materially affect system behavior may be approved \nthrough expedited review.']","No, annual red-team testing would not satisfy current AI-SDL requirements for critical-risk AI systems, as they ""shall undergo adversarial red-team testing at least quarterly."" [Source: data/documents/current\Synthetic AI Secure Development Lifecycle (AI-SDL) Standard.pdf]",No,,,,
